"","X","V1","V2","V3","uphamName"
"73",73,"HLcerEla1","GCA_002197005.1","Cervus elaphus hippelaphus","Cervus_elaphus_hippelaphus"
"74",74,"HLcerHanYar1","GCA_010411085.1","Cervus hanglu yarkandensis","Cervus_hanglu_yarkandensis"
"75",75,"HLcheMed1","GCA_008086735.1","Cheirogaleus medius","Cheirogaleus_medius"
"76",76,"chiLan1","GCF_000276665.1","Chinchilla lanigera","Chinchilla_lanigera"
"77",77,"chlSab2","GCF_000409795.2","Chlorocebus sabaeus","Chlorocebus_sabaeus"
"78",78,"HLchoDid1","GCA_004027855.1","Choloepus didactylus","Choloepus_didactylus"
"79",79,"HLchoDid2","GCF_015220235.1","Choloepus didactylus","Choloepus_didactylus"
"80",80,"HLchoHof3","DNA Zoo Consortium","Choloepus hoffmanni","Choloepus_hoffmanni"
"81",81,"chrAsi1","GCF_000296735.1","Chrysochloris asiatica","Chrysochloris_asiatica"
"82",82,"HLcoePre1","DNA Zoo Consortium","Coendou prehensilis","Coendou_prehensilis"
"83",83,"colAng1","GCF_000951035.1","Colobus angolensis palliatus","Colobus_angolensis_palliatus"
"84",84,"conCri1","GCF_000260355.1","Condylura cristata","Condylura_cristata"
"85",85,"HLconTau2","DNA Zoo Consortium","Connochaetes taurinus","Connochaetes_taurinus"
"86",86,"HLeidHel2","DNA Zoo Consortium","Eidolon helvum","Eidolon_helvum"
"87",87,"HLcraTho1","GCA_004027555.1","Craseonycteris thonglongyai","Craseonycteris_thonglongyai"
"88",88,"HLcriGam1","GCA_004027575.1","Cricetomys gambianus","Cricetomys_gambianus"
"89",89,"HLcriGri3","GCF_003668045.1","Cricetulus griseus","Cricetulus_griseus"
"90",90,"HLcroCro1","GCA_008692635.1","Crocuta crocuta","Crocuta_crocuta"
"91",91,"HLcryFer2","DNA Zoo Consortium","Cryptoprocta ferox","Cryptoprocta_ferox"
"92",92,"HLcteGun1","GCA_004027205.1","Ctenodactylus gundi","Ctenodactylus_gundi"
"93",93,"HLcteSoc1","GCA_004027165.1","Ctenomys sociabilis","Ctenomys_sociabilis"
"94",94,"HLcynGun1","GCA_011316645.1","Cynomys gunnisoni","Cynomys_gunnisoni"
"95",95,"HLcynBra1","GCA_009793145.1","Cynopterus brachyotis","Cynopterus_brachyotis"
"96",96,"HLdamLun1","GCA_006408505.1","Damaliscus lunatus","Damaliscus_lunatus"
"97",97,"HLdasPun1","GCA_004363535.1","Dasyprocta punctata","Dasyprocta_punctata"
"98",98,"dasNov3","GCF_000208655.1","Dasypus novemcinctus","Dasypus_novemcinctus"
"99",99,"HLdauMad1","GCA_004027145.1","Daubentonia madagascariensis","Daubentonia_madagascariensis"
"100",100,"HLdelLeu2","GCF_002288925.2","Delphinapterus leucas","Delphinapterus_leucas"
"101",101,"HLdesRot2","https://sid.erda.dk/share_redirect/gBu4tuc7qz/Dovetail_v2/vampire_bat_10Aug2015_WXtkA.fasta","Desmodus rotundus","Desmodus_rotundus"
"102",102,"HLdicSum1","GCA_002844835.1","Dicerorhinus sumatrensis sumatrensis","Dicerorhinus_sumatrensis_sumatrensis"
"103",103,"HLdicBic1","GCA_004027315.2","Diceros bicornis","Diceros_bicornis"
"104",104,"HLdidVir1","DNA Zoo Consortium","Didelphis virginiana","Didelphis_virginiana"
"105",105,"HLdinBra1","GCA_004027595.1","Dinomys branickii","Dinomys_branickii"
"106",106,"dipOrd2","GCF_000151885.1","Dipodomys ordii","Dipodomys_ordii"
"107",107,"HLdipSte1","GCA_004024685.1","Dipodomys stephensi","Dipodomys_stephensi"
"108",108,"HLdolPat1","GCA_004027295.1","Dolichotis patagonum","Dolichotis_patagonum"
"109",109,"HLdugDug1","GCA_015147995.1","Dugong dugon","Dugong_dugon"
"110",110,"echTel2","GCF_000313985.1","Echinops telfairi","Echinops_telfairi"
"111",111,"HLeidDup1","DNA Zoo Consortium","Eidolon dupreanum","Eidolon_dupreanum"
"112",112,"HLelaDav1","GCA_002443075.1","Elaphurus davidianus","Elaphurus_davidianus"
"113",113,"eleEdw1","GCF_000299155.1","Elephantulus edwardii","Elephantulus_edwardii"
"114",114,"HLeleMax1","DNA Zoo Consortium","Elephas maximus","Elephas_maximus"
"115",115,"HLellLut1","GCA_001685075.1","Ellobius lutescens","Ellobius_lutescens"
"116",116,"HLellTal1","GCA_001685095.1","Ellobius talpinus","Ellobius_talpinus"
"117",117,"enhLutKen1","GCF_002288905.1","Enhydra lutris kenyoni","Enhydra_lutris_kenyoni"
"118",118,"enhLutNer1","GCA_006410715.1","Enhydra lutris nereis","Enhydra_lutris_nereis"
"119",119,"HLeonSpe1","GCA_003508835.1","Eonycteris spelaea","Eonycteris_spelaea"
"120",120,"eptFus1","GCF_000308155.1","Eptesicus fuscus","Eptesicus_fuscus"
"121",121,"HLequAsi1","GCF_001305755.1","Equus asinus","Equus_asinus"
"122",122,"HLequAsiAsi2","GCA_003033725.1","Equus asinus asinus","Equus_asinus_asinus"
"123",123,"HLequQuaBoe1","DNA Zoo Consortium","Equus burchellii boehmi","Equus_burchellii_boehmi"
"124",124,"equCab3","GCF_002863925.1","Equus caballus","Equus_caballus"
"125",125,"equPrz1","GCF_000696695.1","Equus przewalskii","Equus_przewalskii"
"126",126,"HLereDor1","GCA_006547115.1","Erethizon dorsatum","Erethizon_dorsatum"
"127",127,"HLeriBar1","DNA Zoo Consortium","Erignathus barbatus","Erignathus_barbatus"
"128",128,"eriEur2","GCF_000296755.1","Erinaceus europaeus","Erinaceus_europaeus"
"129",129,"HLeryPat1","GCA_004027335.1","Erythrocebus patas","Erythrocebus_patas"
"130",130,"HLescRob1","GCA_004363415.1","Eschrichtius robustus","Eschrichtius_robustus"
"131",131,"HLeubGla1","DNA Zoo Consortium","Eubalaena glacialis","Eubalaena_glacialis"
"132",132,"HLeubJap1","GCA_004363455.1","Eubalaena japonica","Eubalaena_japonica"
"133",133,"HLeudTho1","GCA_006408755.1","Eudorcas thomsonii","Eudorcas_thomsonii"
"134",134,"HLeulFla1","DNA Zoo Consortium","Eulemur flavifrons","Eulemur_flavifrons"
"135",135,"eulFla1","GCA_001262665.1","Eulemur flavifrons","Eulemur_flavifrons"
"136",136,"HLeulFul1","GCA_004027275.1","Eulemur fulvus","Eulemur_fulvus"
"137",137,"eulMac1","GCA_001262655.1","Eulemur macaco","Eulemur_macaco"
"138",138,"HLeulMon1","DNA Zoo Consortium","Eulemur mongoz","Eulemur_mongoz"
"139",139,"HLeumJub1","GCF_004028035.1","Eumetopias jubatus","Eumetopias_jubatus"
"140",140,"felCat9","GCF_000181335.3","Felis catus","Felis_catus"
"141",141,"HLfelNig1","GCA_004023925.1","Felis nigripes","Felis_nigripes"
"142",142,"HLfukDam2","GCF_012274545.1","Fukomys damarensis","Fukomys_damarensis"
"143",143,"HLgalVar2","GCA_004027255.2","Galeopterus variegatus","Galeopterus_variegatus"
"144",144,"HLgirCam1","GCA_006408565.1","Giraffa camelopardalis","Giraffa_camelopardalis"
"145",145,"HLgirCam2","DNA Zoo Consortium","Giraffa camelopardalis","Giraffa_camelopardalis"
"146",146,"HLgirTip1","GCA_001651235.1","Giraffa tippelskirchi","Giraffa_tippelskirchi"
"147",147,"HLgliGli1","GCA_004027185.1","Glis glis","Glis_glis"
"148",148,"HLgloMel1","GCF_006547405.1","Globicephala melas","Globicephala_melas"
"149",149,"gorGor6","GCF_008122165.1","Gorilla gorilla gorilla","Gorilla_gorilla_gorilla"
"150",150,"HLgraAgi1","GCA_016433145.1","Gracilinanus agilis","Gracilinanus_agilis"
"151",151,"HLgraSur1","GCF_004785775.1","Grammomys surdaster","Grammomys_surdaster"
"152",152,"HLgraMur1","GCA_004027655.1","Graphiurus murinus","Graphiurus_murinus"
"153",153,"HLgulGul1","GCA_900006375.2","Gulo gulo","Gulo_gulo"
"154",154,"HLgymLea1","GCA_011680675.1","Gymnobelideus leadbeateri","Gymnobelideus_leadbeateri"
"155",155,"HLhalGry1","GCA_012393455.1","Halichoerus grypus","Halichoerus_grypus"
"156",156,"HLhelPar1","GCA_004023845.1","Helogale parvula","Helogale_parvula"
"157",157,"HLhemHyl1","GCA_004026825.1","Hemitragus hylocrius","Hemitragus_hylocrius"
"158",158,"hetGla2","GCF_000247695.1","Heterocephalus glaber","Heterocephalus_glaber"
"159",159,"HLhetBru1","GCA_004026845.1","Heterohyrax brucei","Heterohyrax_brucei"
"160",160,"HLhipAmp1","GCA_002995585.1","Hippopotamus amphibius","Hippopotamus_amphibius"
"161",161,"HLhipAmp3","GCA_004027065.2","Hippopotamus amphibius","Hippopotamus_amphibius"
"162",162,"HLhipArm1","GCF_001890085.1","Hipposideros armiger","Hipposideros_armiger"
"163",163,"HLhipGal1","GCA_004027415.1","Hipposideros galeritus","Hipposideros_galeritus"
"164",164,"HLhipEqu1","GCA_016433095.1","Hippotragus equinus","Hippotragus_equinus"
"165",165,"HLhipNig1","GCA_006942125.1","Hippotragus niger niger","Hippotragus_niger_niger"
"166",166,"hg38","GCF_000001405.38","Homo sapiens","Homo_sapiens"
"167",167,"HLhyaHya1","GCA_003009895.1","Hyaena hyaena","Hyaena_hyaena"
"168",168,"HLhydHyd1","GCA_004027455.1","Hydrochoerus hydrochaeris","Hydrochoerus_hydrochaeris"
"169",169,"HLhydGig1","GCA_013391785.1","Hydrodamalis gigas","Hydrodamalis_gigas"
"170",170,"HLhydIne1","GCA_006459105.1","Hydropotes inermis","Hydropotes_inermis"
"171",171,"HLhylMol2","GCF_009828535.2","Hylobates moloch","Hylobates_moloch"
"172",172,"HLhysCri1","GCA_004026905.1","Hystrix cristata","Hystrix_cristata"
"173",173,"speTri2","GCF_000236235.1","Ictidomys tridecemlineatus","Ictidomys_tridecemlineatus"
"174",174,"HLindInd1","GCA_004363605.1","Indri indri","Indri_indri"
"175",175,"HLlniGeo1","GCA_004363515.1","Inia geoffrensis","Inia_geoffrensis"
"176",176,"jacJac1","GCF_000280705.1","Jaculus jaculus","Jaculus_jaculus"
"177",177,"HLkobEll1","GCA_006410655.1","Kobus ellipsiprymnus","Kobus_ellipsiprymnus"
"178",178,"HLkobLecLec1","GCA_014926565.1","Kobus leche leche","Kobus_leche_leche"
"179",179,"HLkogBre1","GCA_004363705.1","Kogia breviceps","Kogia_breviceps"
"180",180,"HLlagObl1","GCF_003676395.1","Lagenorhynchus obliquidens","Lagenorhynchus_obliquidens"
"181",181,"HLlamGla1","DNA Zoo Consortium","Lama glama","Lama_glama"
"182",182,"HLlamGlaCha1","GCA_013239585.1","Lama glama chaku","Lama_glama_chaku"
"183",183,"HLlamGuaCac1","GCA_013239625.1","Lama guanicoe cacsilensis","Lama_guanicoe_cacsilensis"
"184",184,"HLlasBor1","GCA_004026805.1","Lasiurus borealis","Lasiurus_borealis"
"185",185,"HLlemCat1","GCA_004024665.1","Lemur catta","Lemur_catta"
"186",186,"lepWed1","GCF_000349705.1","Leptonychotes weddellii","Leptonychotes_weddellii"
"187",187,"HLlepYer1","GIGADB","Leptonycteris yerbabuenae","Leptonycteris_yerbabuenae"
"188",188,"HLlepAme1","GCA_004026855.1","Lepus americanus","Lepus_americanus"
"189",189,"HLlepTim1","GCA_009760805.1","Lepus timidus","Lepus_timidus"
"190",190,"lipVex1","GCF_000442215.1","Lipotes vexillifer","Lipotes_vexillifer"
"191",191,"HLlitWal1","GCA_006410535.1","Litocranius walleri","Litocranius_walleri"
"192",192,"HLlonCan1","GCF_010015895.1","Lontra canadensis","Lontra_canadensis"
"193",193,"HLloxAfr4","ftp://ftp.broadinstitute.org/pub/assemblies/mammals/elephant/loxAfr4/","Loxodonta africana","Loxodonta_africana"
"194",194,"HLlutLut1","GCA_902655055.1","Lutra lutra","Lutra_lutra"
"195",195,"HLlycPic2","GCA_004216515.1","Lycaon pictus","Lycaon_pictus"
"196",196,"HLlycPic3","DNA Zoo Consortium","Lycaon pictus","Lycaon_pictus"
"197",197,"HLlynCan1","GCF_007474595.1","Lynx canadensis","Lynx_canadensis"
"198",198,"HLlynPar1","GCA_900661375.1","Lynx pardinus","Lynx_pardinus"
"199",199,"HLmacFas6","GCA_012559485.1","Macaca fascicularis","Macaca_fascicularis"
"200",200,"HLmacFus1","DNA Zoo Consortium","Macaca fuscata","Macaca_fuscata"
"201",201,"rheMac10","GCF_003339765.1","Macaca mulatta","Macaca_mulatta"
"202",202,"macNem1","GCF_000956065.1","Macaca nemestrina","Macaca_nemestrina"
"203",203,"HLmacSob1","GCA_004027375.1","Macroglossus sobrinus","Macroglossus_sobrinus"
"204",204,"HLmacFul1","DNA Zoo Consortium","Macropus fuliginosus","Macropus_fuliginosus"
"205",205,"HLmacGig1","DNA Zoo Consortium","Macropus giganteus","Macropus_giganteus"
"206",206,"HLmacCal1","GCA_007922815.1","Macrotus californicus","Macrotus_californicus"
"207",207,"HLmadKir1","GCA_006408675.1","Madoqua kirkii","Madoqua_kirkii"
"208",208,"manLeu1","GCF_000951045.1","Mandrillus leucophaeus","Mandrillus_leucophaeus"
"209",209,"HLmanSph1","GCA_004802615.1","Mandrillus sphinx","Mandrillus_sphinx"
"210",210,"HLmanJav1","GCF_001685135.1","Manis javanica","Manis_javanica"
"211",211,"HLmanJav2","GCA_014570535.1","Manis javanica","Manis_javanica"
"212",212,"HLmanPen2","GCA_014570555.1","Manis pentadactyla","Manis_pentadactyla"
"213",213,"manPen1","GCA_000738955.1","Manis pentadactyla","Manis_pentadactyla"
"214",214,"HLmanTri1","GCA_004765945.1","Manis tricuspis","Manis_tricuspis"
"215",215,"HLmarFla1","GCA_003676075.2","Marmota flaviventris","Marmota_flaviventris"
"216",216,"HLmarHim1","GCA_005280165.1","Marmota himalayana","Marmota_himalayana"
"217",217,"HLmarMar1","GCF_001458135.1","Marmota marmota marmota","Marmota_marmota_marmota"
"218",218,"HLmarMon1","GCA_901343595.1","Marmota monax","Marmota_monax"
"219",219,"HLmarMon2","GCA_014533835.1","Marmota monax","Marmota_monax"
"220",220,"HLmarVan1","GCA_005458795.1","Marmota vancouverensis","Marmota_vancouverensis"
"221",221,"HLmarZib1","GCA_012583365.1","Martes zibellina","Martes_zibellina"
"222",222,"HLmasCou1","GCF_008632895.1","Mastomys coucha","Mastomys_coucha"
"223",223,"HLmegLyr2","GCA_004026885.1","Megaderma lyra","Megaderma_lyra"
"224",224,"HLmegNov1","GCA_004329385.1","Megaptera novaeangliae","Megaptera_novaeangliae"
"225",225,"HLmelCap1","GCA_004024625.1","Mellivora capensis","Mellivora_capensis"
"226",226,"HLmerUng1","GCF_002204375.1","Meriones unguiculatus","Meriones_unguiculatus"
"227",227,"mesAur1","GCF_000349665.1","Mesocricetus auratus","Mesocricetus_auratus"
"228",228,"HLmesBid1","GCA_004027085.1","Mesoplodon bidens","Mesoplodon_bidens"
"229",229,"micMur3","GCF_000165445.2","Microcebus murinus","Microcebus_murinus"
"230",230,"HLmicSpe31","GCA_008750915.1","Microcebus sp. 3 GT-2019","Microcebus_sp._3_GT-2019"
"231",231,"HLmicTav1","GCA_008750935.1","Microcebus tavaratra","Microcebus_tavaratra"
"232",232,"HLmicTal1","GCA_004026705.1","Microgale talazaci","Microgale_talazaci"
"233",233,"HLmicHir1","GCA_004026765.1","Micronycteris hirsuta","Micronycteris_hirsuta"
"234",234,"HLmicAgr2","GCA_902806775.1","Microtus agrestis","Microtus_agrestis"
"235",235,"HLmicArv1","GCA_007455615.1","Microtus arvalis","Microtus_arvalis"
"236",236,"HLmicFor1","GCA_014885135.1","Microtus fortis","Microtus_fortis"
"237",237,"micOch1","GCF_000317375.1","Microtus ochrogaster","Microtus_ochrogaster"
"238",238,"HLmicOec1","GCA_007455595.1","Microtus oeconomus","Microtus_oeconomus"
"239",239,"HLminNat1","GCF_001595765.1","Miniopterus natalensis","Miniopterus_natalensis"
"240",240,"HLminSch1","GCA_004026525.1","Miniopterus schreibersii","Miniopterus_schreibersii"
"241",241,"HLmirAng2","DNA Zoo Consortium","Mirounga angustirostris","Mirounga_angustirostris"
"242",242,"HLmirLeo1","GCF_011800145.1","Mirounga leonina","Mirounga_leonina"
"243",243,"HLmirCoq1","GCA_004024645.1","Mirza coquereli","Mirza_coquereli"
"244",244,"HLmirZaz1","GCA_008750895.1","Mirza zaza","Mirza_zaza"
"245",245,"HLmolMol2","Bat1K","Molossus molossus","Molossus_molossus"
"246",246,"monDom5","GCF_000002295.2","Monodelphis domestica","Monodelphis_domestica"
"247",247,"HLmonMon1","GCF_005190385.1","Monodon monoceros","Monodon_monoceros"
"248",248,"HLmonMon2","JoanaDamasHarrisLewin","Monodon monoceros","Monodon_monoceros"
"249",249,"HLmorBla1","GCA_004026545.1","Mormoops blainvillei","Mormoops_blainvillei"
"250",250,"HLmosBer1","GCA_006459085.1","Moschus berezovskii","Moschus_berezovskii"
"251",251,"HLmosChr1","GCA_006461725.1","Moschus chrysogaster","Moschus_chrysogaster"
"252",252,"HLmosMos1","GCA_004024705.2","Moschus moschiferus","Moschus_moschiferus"
"253",253,"HLmunMug1","GCA_004023785.1","Mungos mungo","Mungos_mungo"
"254",254,"HLmunCri1","GCA_006408485.1","Muntiacus crinifrons","Muntiacus_crinifrons"
"255",255,"HLmunMun1","GCA_008782695.1","Muntiacus muntjak","Muntiacus_muntjak"
"256",256,"HLmunRee1","GCA_008787405.1","Muntiacus reevesi","Muntiacus_reevesi"
"257",257,"HLmurAurFea1","GCA_004026665.1","Murina aurata feae","Murina_aurata_feae"
"258",258,"HLmusCar1","GCF_900094665.1","Mus caroli","Mus_caroli"
"259",259,"mm10","GCF_000001635.20","Mus musculus","Mus_musculus"
"260",260,"mm39","GCF_000001635.27","Mus musculus","Mus_musculus"
"261",261,"HLmusPah1","GCF_900095145.1","Mus pahari","Mus_pahari"
"262",262,"HLmusSpi1","GCA_003336285.1","Mus spicilegus","Mus_spicilegus"
"263",263,"HLmusSpr1","GCA_001624865.1","Mus spretus","Mus_spretus"
"264",264,"HLmusAve1","GCA_004027005.1","Muscardinus avellanarius","Muscardinus_avellanarius"
"265",265,"HLmusErm1","GCF_009829155.1","Mustela erminea","Mustela_erminea"
"266",266,"HLmusPut1","GCA_902460205.1","Mustela putorius","Mustela_putorius"
"267",267,"HLmusFur2","GCA_011764305.1","Mustela putorius furo","Mustela_putorius_furo"
"268",268,"HLmyoCoy1","GCA_004027025.1","Myocastor coypus","Myocastor_coypus"
"269",269,"HLmyoGla2","GCA_902806735.1","Myodes glareolus","Myodes_glareolus"
"270",270,"myoBra1","GCF_000412655.1","Myotis brandtii","Myotis_brandtii"
"271",271,"myoDav1","GCF_000327345.1","Myotis davidii","Myotis_davidii"
"272",272,"HLmyoLuc1","DNA Zoo Consortium","Myotis lucifugus","Myotis_lucifugus"
"273",273,"myoLuc2","GCF_000147115.1","Myotis lucifugus","Myotis_lucifugus"
"274",274,"HLmyoMyo6","Bat1K","Myotis myotis","Myotis_myotis"
"275",275,"HLmyoSep1","DNA Zoo Consortium","Myotis septentrionalis","Myotis_septentrionalis"
"276",276,"HLmyrTri1","GCA_004026745.1","Myrmecophaga tridactyla","Myrmecophaga_tridactyla"
"277",277,"HLnanGra1","GCA_006408635.1","Nanger granti","Nanger_granti"
"278",278,"nanGal1","GCF_000622305.1","Nannospalax galili","Nannospalax_galili"
"279",279,"nasLar1","GCA_000772465.1","Nasalis larvatus","Nasalis_larvatus"
"280",280,"HLnasNar1","DNA Zoo Consortium","Nasua narica","Nasua_narica"
"281",281,"HLneoNeb1","DNA Zoo Consortium","Neofelis nebulosa","Neofelis_nebulosa"
"282",282,"neoSch1","GCF_002201575.1","Neomonachus schauinslandi","Neomonachus_schauinslandi"
"283",283,"HLneoAsi1","GCF_003031525.1","Neophocaena asiaeorientalis asiaeorientalis","Neophocaena_asiaeorientalis_asiaeorientalis"
"284",284,"HLneoLep1","GCA_001675575.1","Neotoma lepida","Neotoma_lepida"
"285",285,"HLneoMos1","GCA_006410615.1","Neotragus moschatus","Neotragus_moschatus"
"286",286,"HLneoPyg1","GCA_006410875.1","Neotragus pygmaeus","Neotragus_pygmaeus"
"287",287,"HLneoVis1","GCA_900108605.1","Neovison vison","Neovison_vison"
"288",288,"HLnocLep1","GCA_004026585.1","Noctilio leporinus","Noctilio_leporinus"
"289",289,"HLnomLeu4","GCF_006542625.1","Nomascus leucogenys","Nomascus_leucogenys"
"290",290,"HLnotEug3","DNA Zoo Consortium","Notamacropus eugenii","Notamacropus_eugenii"
"291",291,"macEug2","GCA_000004035.1","Notamacropus eugenii","Notamacropus_eugenii"
"292",292,"HLnycCou1","GCA_004027815.1","Nycticebus coucang","Nycticebus_coucang"
"293",293,"HLnycHum2","GCA_007922795.1","Nycticeius humeralis","Nycticeius_humeralis"
"294",294,"ochPri3","GCF_000292845.1","Ochotona princeps","Ochotona_princeps"
"295",295,"octDeg1","GCF_000260255.1","Octodon degus","Octodon_degus"
"296",296,"HLodoRos1","DNA Zoo Consortium","Odobenus rosmarus","Odobenus_rosmarus"
"297",297,"odoRosDiv1","GCF_000321225.1","Odobenus rosmarus divergens","Odobenus_rosmarus_divergens"
